Title,Start,End,Day of week,Duration
john doe,12/31/17 0:00,1/1/18 0:00,Sun,24:00:00
john doe,1/3/18 0:00,1/4/18 0:00,Wed,24:00:00
john doe,1/3/18 0:00,1/4/18 0:00,Wed,24:00:00
john doe,1/5/18 0:00,1/6/18 0:00,Fri,24:00:00
john doe,1/7/18 0:00,1/8/18 0:00,Sun,24:00:00
john doe,1/7/18 0:00,1/8/18 0:00,Sun,24:00:00
john doe,1/8/18 0:00,1/9/18 0:00,Mon,24:00:00
john doe,1/8/18 0:00,1/9/18 0:00,Mon,24:00:00
john doe,1/9/18 0:00,1/10/18 0:00,Tue,24:00:00
john doe,1/14/18 0:00,1/15/18 0:00,Sun,24:00:00
john doe,1/14/18 0:00,1/15/18 0:00,Sun,24:00:00
john doe,1/15/18 0:00,1/16/18 0:00,Mon,24:00:00
john doe,1/15/18 0:00,1/16/18 0:00,Mon,24:00:00
john doe,1/16/18 0:00,1/17/18 0:00,Tue,24:00:00
john doe,1/16/18 0:00,1/17/18 0:00,Tue,24:00:00
john doe,1/17/18 0:00,1/18/18 0:00,Wed,24:00:00
john doe,1/18/18 0:00,1/19/18 0:00,Thu,24:00:00
john doe,1/20/18 0:00,1/21/18 0:00,Sat,24:00:00
john doe,1/21/18 0:00,1/22/18 0:00,Sun,24:00:00
john doe,1/21/18 0:00,1/22/18 0:00,Sun,24:00:00
john doe,1/22/18 0:00,1/23/18 0:00,Mon,24:00:00
john doe,1/23/18 0:00,1/24/18 0:00,Tue,24:00:00
john doe,1/23/18 0:00,1/24/18 0:00,Tue,24:00:00
john doe,1/23/18 0:00,1/24/18 0:00,Tue,24:00:00
john doe,1/24/18 0:00,1/25/18 0:00,Wed,24:00:00
john doe,1/24/18 0:00,1/25/18 0:00,Wed,24:00:00
john doe,1/24/18 0:00,1/25/18 0:00,Wed,24:00:00
john doe,1/25/18 0:00,1/26/18 0:00,Thu,24:00:00
john doe,1/25/18 0:00,1/26/18 0:00,Thu,24:00:00
john doe,1/27/18 0:00,1/28/18 0:00,Sat,24:00:00
john doe,1/27/18 0:00,1/28/18 0:00,Sat,24:00:00
john doe,1/28/18 0:00,1/29/18 0:00,Sun,24:00:00
john doe,1/29/18 0:00,1/30/18 0:00,Mon,24:00:00
john doe,1/31/18 0:00,2/1/18 0:00,Wed,24:00:00
john doe,2/1/18 0:00,2/2/18 0:00,Thu,24:00:00
john doe,2/3/18 0:00,2/4/18 0:00,Sat,24:00:00
john doe,2/5/18 0:00,2/6/18 0:00,Mon,24:00:00
john doe,2/7/18 0:00,2/8/18 0:00,Wed,24:00:00
john doe,2/7/18 0:00,2/8/18 0:00,Wed,24:00:00
john doe,2/8/18 0:00,2/9/18 0:00,Thu,24:00:00
john doe,2/8/18 0:00,2/9/18 0:00,Thu,24:00:00
john doe,2/10/18 0:00,2/11/18 0:00,Sat,24:00:00
john doe,2/10/18 0:00,2/11/18 0:00,Sat,24:00:00
john doe,2/13/18 0:00,2/14/18 0:00,Tue,24:00:00
john doe,2/13/18 0:00,2/14/18 0:00,Tue,24:00:00
john doe,2/14/18 0:00,2/15/18 0:00,Wed,24:00:00
john doe,2/15/18 0:00,2/16/18 0:00,Thu,24:00:00
john doe,2/16/18 0:00,2/17/18 0:00,Fri,24:00:00
john doe,2/16/18 0:00,2/17/18 0:00,Fri,24:00:00
john doe,2/17/18 0:00,2/18/18 0:00,Sat,24:00:00
john doe,2/17/18 0:00,2/18/18 0:00,Sat,24:00:00
john doe,2/22/18 0:00,2/23/18 0:00,Thu,24:00:00
john doe,2/24/18 0:00,2/25/18 0:00,Sat,24:00:00
john doe,2/26/18 0:00,2/27/18 0:00,Mon,24:00:00
john doe,2/27/18 0:00,2/28/18 0:00,Tue,24:00:00
john doe,2/27/18 0:00,2/28/18 0:00,Tue,24:00:00
john doe,2/28/18 0:00,3/1/18 0:00,Wed,24:00:00
john doe,3/2/18 0:00,3/3/18 0:00,Fri,24:00:00
john doe,3/2/18 0:00,3/3/18 0:00,Fri,24:00:00
john doe,3/3/18 0:00,3/4/18 0:00,Sat,24:00:00
john doe,3/8/18 0:00,3/9/18 0:00,Thu,24:00:00
john doe,3/8/18 0:00,3/9/18 0:00,Thu,24:00:00
john doe,3/12/18 0:00,3/13/18 0:00,Mon,24:00:00
john doe,3/13/18 0:00,3/14/18 0:00,Tue,24:00:00
john doe,3/13/18 0:00,3/14/18 0:00,Tue,24:00:00
john doe,3/14/18 0:00,3/15/18 0:00,Wed,24:00:00
john doe,3/15/18 0:00,3/16/18 0:00,Thu,24:00:00
john doe,3/15/18 0:00,3/16/18 0:00,Thu,24:00:00
john doe,3/16/18 0:00,3/17/18 0:00,Fri,24:00:00
john doe,3/17/18 0:00,3/18/18 0:00,Sat,24:00:00
john doe,3/17/18 0:00,3/18/18 0:00,Sat,24:00:00
john doe,3/20/18 0:00,3/21/18 0:00,Tue,24:00:00
john doe,3/24/18 0:00,3/25/18 0:00,Sat,24:00:00
john doe,3/25/18 0:00,3/26/18 0:00,Sun,24:00:00
john doe,3/27/18 0:00,3/28/18 0:00,Tue,24:00:00
john doe,3/27/18 0:00,3/28/18 0:00,Tue,24:00:00
john doe,3/28/18 0:00,3/29/18 0:00,Wed,24:00:00
john doe,3/28/18 0:00,3/29/18 0:00,Wed,24:00:00
john doe,3/29/18 0:00,3/30/18 0:00,Thu,24:00:00
john doe,3/30/18 0:00,3/31/18 0:00,Fri,24:00:00
john doe,3/30/18 0:00,3/31/18 0:00,Fri,24:00:00
john doe,3/31/18 0:00,4/1/18 0:00,Sat,24:00:00
john doe,3/31/18 0:00,4/1/18 0:00,Sat,24:00:00
john doe,3/31/18 0:00,4/1/18 0:00,Sat,24:00:00
john doe,4/1/18 0:00,4/2/18 0:00,Sun,24:00:00
john doe,4/1/18 0:00,4/2/18 0:00,Sun,24:00:00
john doe,4/1/18 0:00,4/2/18 0:00,Sun,24:00:00
john doe,4/6/18 0:00,4/7/18 0:00,Fri,24:00:00
john doe,4/10/18 0:00,4/11/18 0:00,Tue,24:00:00
john doe,4/13/18 0:00,4/14/18 0:00,Fri,24:00:00
john doe,4/14/18 0:00,4/15/18 0:00,Sat,24:00:00
john doe,4/15/18 0:00,4/16/18 0:00,Sun,24:00:00
john doe,4/15/18 0:00,4/16/18 0:00,Sun,24:00:00
john doe,4/15/18 0:00,4/16/18 0:00,Sun,24:00:00
john doe,4/16/18 0:00,4/17/18 0:00,Mon,24:00:00
john doe,4/17/18 0:00,4/18/18 0:00,Tue,24:00:00
john doe,4/18/18 0:00,4/19/18 0:00,Wed,24:00:00
john doe,4/19/18 0:00,4/20/18 0:00,Thu,24:00:00
john doe,4/20/18 0:00,4/21/18 0:00,Fri,24:00:00
john doe,4/21/18 0:00,4/22/18 0:00,Sat,24:00:00
john doe,4/21/18 0:00,4/22/18 0:00,Sat,24:00:00
john doe,4/22/18 0:00,4/23/18 0:00,Sun,24:00:00
john doe,4/22/18 0:00,4/23/18 0:00,Sun,24:00:00
john doe,4/23/18 0:00,4/24/18 0:00,Mon,24:00:00
john doe,4/23/18 0:00,4/24/18 0:00,Mon,24:00:00
john doe,4/24/18 0:00,4/25/18 0:00,Tue,24:00:00
john doe,4/25/18 0:00,4/26/18 0:00,Wed,24:00:00
john doe,4/26/18 0:00,4/27/18 0:00,Thu,24:00:00
john doe,4/26/18 0:00,4/27/18 0:00,Thu,24:00:00
john doe,4/27/18 0:00,4/28/18 0:00,Fri,24:00:00
john doe,4/28/18 0:00,4/29/18 0:00,Sat,24:00:00
john doe,5/1/18 0:00,5/2/18 0:00,Tue,24:00:00
john doe,5/1/18 0:00,5/2/18 0:00,Tue,24:00:00
john doe,5/3/18 0:00,5/4/18 0:00,Thu,24:00:00
john doe,5/5/18 0:00,5/6/18 0:00,Sat,24:00:00
john doe,5/5/18 0:00,5/6/18 0:00,Sat,24:00:00
john doe,5/6/18 0:00,5/7/18 0:00,Sun,24:00:00
john doe,5/8/18 0:00,5/9/18 0:00,Tue,24:00:00
john doe,5/8/18 0:00,5/9/18 0:00,Tue,24:00:00
john doe,5/9/18 0:00,5/10/18 0:00,Wed,24:00:00
john doe,5/11/18 0:00,5/12/18 0:00,Fri,24:00:00
john doe,5/11/18 0:00,5/12/18 0:00,Fri,24:00:00
john doe,5/16/18 0:00,5/17/18 0:00,Wed,24:00:00
john doe,5/16/18 0:00,5/17/18 0:00,Wed,24:00:00
john doe,5/19/18 0:00,5/20/18 0:00,Sat,24:00:00
john doe,5/20/18 0:00,5/21/18 0:00,Sun,24:00:00
john doe,5/21/18 0:00,5/22/18 0:00,Mon,24:00:00
john doe,5/22/18 0:00,5/23/18 0:00,Tue,24:00:00
john doe,5/23/18 0:00,5/24/18 0:00,Wed,24:00:00
john doe,5/23/18 0:00,5/24/18 0:00,Wed,24:00:00
john doe,5/25/18 0:00,5/26/18 0:00,Fri,24:00:00
john doe,6/1/18 0:00,6/2/18 0:00,Fri,24:00:00
john doe,6/4/18 0:00,6/5/18 0:00,Mon,24:00:00
john doe,6/6/18 0:00,6/7/18 0:00,Wed,24:00:00
john doe,6/7/18 0:00,6/8/18 0:00,Thu,24:00:00
john doe,6/11/18 0:00,6/12/18 0:00,Mon,24:00:00
john doe,6/12/18 0:00,6/13/18 0:00,Tue,24:00:00
john doe,6/12/18 0:00,6/13/18 0:00,Tue,24:00:00
john doe,6/13/18 0:00,6/14/18 0:00,Wed,24:00:00
john doe,6/14/18 0:00,6/15/18 0:00,Thu,24:00:00
john doe,6/16/18 0:00,6/17/18 0:00,Sat,24:00:00
john doe,6/17/18 0:00,6/18/18 0:00,Sun,24:00:00
john doe,6/19/18 0:00,6/20/18 0:00,Tue,24:00:00
,,,Total:,8280:00:00
